V (V)	I (A)
1.962E-3	8.225E-6
7.783E-2	1.022E-3
1.293E-1	3.432E-3
1.883E-1	8.318E-3
2.649E-1	1.674E-2
3.403E-1	2.565E-2
4.446E-1	1.413E-2
4.880E-1	1.834E-2
5.449E-1	2.470E-2
6.057E-1	3.228E-2
6.860E-1	4.358E-2
7.631E-1	5.524E-2
8.071E-1	6.358E-2
8.538E-1	7.106E-2
8.946E-1	7.826E-2
9.358E-1	7.998E-2
9.629E-1	8.237E-2
9.787E-1	9.116E-2
8.763E-1	7.635E-2
9.053E-1	8.088E-2
9.168E-1	8.238E-2
9.391E-1	8.605E-2
9.507E-1	8.796E-2
9.534E-1	8.912E-2
9.261E-1	8.567E-2
9.202E-1	8.422E-2
8.820E-1	7.396E-2
4.687E-2	3.085E-4
7.616E-2	9.068E-4
1.178E-1	2.717E-3
2.332E-1	1.297E-2
1.825E-1	7.667E-3
2.412E-1	1.387E-2
2.765E-1	1.799E-2
3.223E-1	2.342E-2
2.802E-1	1.844E-2
2.868E-1	1.923E-2
3.003E-1	2.086E-2
3.472E-1	2.617E-2
3.700E-1	8.673E-3
3.904E-1	9.845E-3
4.182E-1	1.183E-2
4.403E-1	1.366E-2
4.631E-1	1.573E-2
4.747E-1	1.686E-2
5.059E-1	2.010E-2
5.402E-1	2.436E-2
5.809E-1	2.890E-2
6.031E-1	3.189E-2
6.233E-1	3.436E-2
6.395E-1	3.657E-2
6.511E-1	3.813E-2
6.811E-1	4.225E-2
7.005E-1	4.499E-2
7.138E-1	4.688E-2
7.327E-1	4.970E-2
7.484E-1	5.203E-2
7.652E-1	5.447E-2
8.008E-1	5.987E-2
8.191E-1	6.286E-2
8.431E-1	6.649E-2
8.721E-1	7.109E-2
8.920E-1	7.423E-2
3.496E-1	2.256E-2
3.531E-1	1.069E-2
3.498E-1	2.326E-2
3.495E-1	2.228E-2
3.499E-1	2.397E-2
3.527E-1	1.344E-2
3.533E-1	1.093E-2
3.531E-1	1.045E-2
3.502E-1	2.514E-2
3.496E-1	2.214E-2
3.530E-1	1.138E-2
3.495E-1	2.284E-2
3.642E-1	8.418E-3
3.651E-1	8.452E-3
3.651E-1	8.452E-3
3.486E-1	2.443E-2
3.484E-1	2.565E-2
3.523E-1	1.509E-2
3.484E-1	2.639E-2
3.487E-1	2.376E-2
3.489E-1	2.639E-2
3.484E-1	2.639E-2
3.484E-1	2.505E-2
3.484E-1	2.529E-2
3.518E-1	1.275E-2
3.525E-1	1.426E-2
3.484E-1	2.639E-2
3.519E-1	1.175E-2
3.487E-1	2.218E-2
3.523E-1	1.174E-2
3.484E-1	2.639E-2
3.485E-1	2.639E-2
3.530E-1	1.118E-2
3.530E-1	1.044E-2
3.501E-1	2.259E-2
3.530E-1	1.083E-2
3.500E-1	2.274E-2
1.224E-2	5.090E-5
3.356E-2	1.738E-4
4.679E-2	3.085E-4
5.422E-2	4.159E-4
7.862E-2	9.814E-4
8.801E-2	1.304E-3
1.029E-1	1.938E-3
1.485E-1	4.775E-3
1.672E-1	6.302E-3
2.070E-1	1.016E-2
2.185E-1	1.140E-2
4.788E-3	2.043E-5
