V (V)	I (A)
1.808E-4	1.816E-7
4.801E-2	7.923E-6
8.455E-2	2.494E-5
1.338E-1	9.703E-5
2.002E-1	4.052E-4
2.290E-1	6.938E-4
2.657E-1	1.212E-3
3.573E-1	1.247E-3
3.979E-1	1.575E-3
4.441E-1	2.150E-3
4.821E-1	2.707E-3
5.241E-1	3.402E-3
5.545E-1	3.975E-3
1.568E-1	1.576E-4
1.777E-1	2.536E-4
2.075E-1	4.681E-4
2.313E-1	7.214E-4
2.500E-1	9.717E-4
2.500E-1	9.717E-4
2.700E-1	1.280E-3
2.992E-1	1.613E-3
2.749E-1	1.358E-3
2.935E-1	1.613E-3
3.188E-1	1.412E-3
3.227E-1	1.400E-3
3.385E-1	1.321E-3
3.545E-1	1.235E-3
3.740E-1	1.352E-3
3.814E-1	1.414E-3
4.030E-1	1.630E-3
4.204E-1	1.837E-3
4.336E-1	2.007E-3
4.512E-1	2.249E-3
4.686E-1	2.502E-3
4.807E-1	2.684E-3
5.124E-1	3.198E-3
5.241E-1	3.402E-3
5.464E-1	3.843E-3
5.710E-1	4.319E-3
5.955E-1	4.875E-3
6.120E-1	5.283E-3
6.419E-1	6.087E-3
6.809E-1	7.239E-3
6.924E-1	7.597E-3
6.990E-1	7.857E-3
7.126E-1	8.244E-3
7.262E-1	8.689E-3
7.333E-1	8.922E-3
7.455E-1	9.339E-3
7.575E-1	9.733E-3
7.651E-1	9.987E-3
7.711E-1	1.019E-2
7.785E-1	1.044E-2
7.900E-1	1.087E-2
7.999E-1	1.117E-2
8.218E-1	1.191E-2
7.559E-2	1.842E-5
1.029E-1	3.996E-5
1.287E-1	7.896E-5
