V (V)	I (A)
9.367E-4	1.747E-5
4.085E-3	6.015E-5
1.706E-2	2.389E-4
2.149E-2	2.991E-4
2.774E-2	3.852E-4
3.579E-2	4.950E-4
4.351E-2	6.037E-4
4.641E-2	6.395E-4
5.570E-2	7.673E-4
6.456E-2	8.887E-4
7.252E-2	9.988E-4
8.075E-2	1.108E-3
8.684E-2	1.197E-3
9.328E-2	1.279E-3
9.943E-2	1.363E-3
1.063E-1	1.457E-3
1.175E-1	1.609E-3
1.245E-1	1.704E-3
1.332E-1	1.822E-3
1.400E-1	1.914E-3
1.513E-1	2.068E-3
1.668E-1	2.278E-3
1.779E-1	2.430E-3
1.849E-1	2.524E-3
1.949E-1	2.660E-3
2.017E-1	2.751E-3
2.111E-1	2.878E-3
2.159E-1	2.943E-3
2.266E-1	3.088E-3
2.378E-1	3.237E-3
2.511E-1	3.416E-3
2.564E-1	3.505E-3
2.660E-1	3.616E-3
2.749E-1	3.736E-3
2.978E-1	4.043E-3
2.991E-1	4.060E-3
3.041E-1	4.127E-3
3.110E-1	4.220E-3
3.196E-1	4.336E-3
3.358E-1	4.551E-3
3.534E-1	4.786E-3
3.627E-1	4.911E-3
3.676E-1	4.976E-3
3.708E-1	5.018E-3
3.794E-1	5.134E-3
3.845E-1	5.201E-3
3.945E-1	5.334E-3
4.032E-1	5.450E-3
4.294E-1	5.799E-3
4.094E-1	5.533E-3
4.200E-1	5.674E-3
4.294E-1	5.799E-3
4.408E-1	5.966E-3
4.601E-1	6.218E-3
4.780E-1	6.448E-3
4.867E-1	6.565E-3
4.886E-1	6.590E-3
4.911E-1	6.624E-3
5.136E-1	6.928E-3
5.244E-1	7.123E-3
5.335E-1	7.203E-3
5.435E-1	7.342E-3
5.504E-1	7.469E-3
5.603E-1	7.580E-3
5.653E-1	7.677E-3
5.747E-1	7.791E-3
5.816E-1	7.896E-3
5.903E-1	8.031E-3
5.963E-1	8.152E-3
6.351E-1	8.819E-3
6.357E-1	8.837E-3
6.364E-1	8.845E-3
6.394E-1	8.924E-3
6.401E-1	8.924E-3
6.463E-1	9.058E-3
6.545E-1	9.260E-3
6.631E-1	9.467E-3
6.728E-1	9.766E-3
6.811E-1	1.006E-2
6.885E-1	1.025E-2
6.885E-1	1.025E-2
6.939E-1	1.050E-2
7.063E-1	1.098E-2
7.132E-1	1.132E-2
7.193E-1	1.164E-2
7.266E-1	1.207E-2
7.328E-1	1.247E-2
7.373E-1	1.284E-2
7.422E-1	1.332E-2
7.473E-1	1.358E-2
7.557E-1	1.434E-2
7.648E-1	1.526E-2
7.684E-1	1.566E-2
7.736E-1	1.630E-2
7.845E-1	1.769E-2
7.939E-1	1.909E-2
8.015E-1	2.035E-2
8.044E-1	2.086E-2
8.108E-1	2.203E-2
8.142E-1	2.298E-2
8.299E-1	2.604E-2
8.358E-1	2.825E-2
8.448E-1	2.971E-2
8.481E-1	3.058E-2
8.554E-1	3.262E-2
8.655E-1	3.558E-2
8.722E-1	3.769E-2
8.806E-1	4.044E-2
8.855E-1	4.211E-2
8.909E-1	4.403E-2
8.974E-1	4.665E-2
8.996E-1	4.720E-2
9.041E-1	4.887E-2
9.133E-1	5.246E-2
9.169E-1	5.393E-2
9.213E-1	5.570E-2
9.245E-1	5.705E-2
9.277E-1	5.953E-2
9.331E-1	6.070E-2
9.362E-1	6.204E-2
9.506E-1	6.848E-2
9.526E-1	7.005E-2
9.637E-1	7.472E-2
9.676E-1	7.659E-2
9.695E-1	7.734E-2
9.607E-4	2.028E-5
4.123E-3	6.362E-5
9.426E-4	2.024E-5
1.093E-2	1.566E-4
7.154E-3	1.054E-4
5.916E-1	8.048E-3
5.965E-1	8.125E-3
5.971E-1	8.136E-3
6.021E-1	8.218E-3
6.084E-1	8.322E-3
6.115E-1	8.377E-3
8.184E-1	2.353E-2
9.590E-1	7.233E-2
9.389E-1	6.316E-2
9.442E-1	6.551E-2
9.083E-1	5.045E-2
