V (V)	I (A)
7.573E-4	1.544E-7
1.047E-1	1.619E-7
2.277E-1	1.847E-7
3.432E-1	2.125E-7
4.523E-1	2.571E-7
5.768E-1	3.266E-7
6.702E-1	4.096E-7
7.356E-1	4.427E-7
7.923E-1	4.909E-7
8.652E-1	5.587E-7
8.902E-1	5.896E-7
9.121E-1	6.110E-7
9.373E-1	6.407E-7
9.685E-1	6.840E-7
1.001E+0	7.220E-7
8.293E-1	5.136E-7
8.432E-1	5.354E-7
7.454E-1	4.417E-7
7.283E-1	4.145E-7
6.681E-1	3.683E-7
6.186E-1	3.367E-7
5.202E-1	2.818E-7
4.657E-1	2.572E-7
4.136E-1	2.314E-7
3.269E-1	2.094E-7
2.466E-1	1.794E-7
2.159E-1	1.806E-7
1.991E-1	1.780E-7
1.182E-1	1.622E-7
